time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.009951,0.020643,-0.051584,-0.188504
0.044803,0.021867,-0.052263,-0.179709
0.074710,0.023199,-0.054985,-0.169691
0.109622,0.025270,-0.054393,-0.162237
0.139504,0.024190,-0.054702,-0.154864
0.174355,0.025079,-0.053147,-0.149893
0.209267,0.026831,-0.056004,-0.145524
0.244118,0.029249,-0.056841,-0.142486
0.274026,0.029792,-0.056810,-0.140267
0.308938,0.028795,-0.055991,-0.137105
0.343789,0.030640,-0.059488,-0.133112
0.373696,0.032395,-0.059308,-0.133238
0.408608,0.031370,-0.058266,-0.131786
0.443490,0.029563,-0.058989,-0.130092
0.473366,0.031307,-0.059667,-0.130159
0.508279,0.032453,-0.058594,-0.128677
0.543160,0.032152,-0.057103,-0.127022
0.573037,0.033449,-0.059593,-0.127868
0.607949,0.033596,-0.058203,-0.126969
0.642831,0.033336,-0.055937,-0.122221
0.677743,0.033347,-0.055883,-0.121316
0.707619,0.034971,-0.056929,-0.121546
0.742501,0.035442,-0.059973,-0.120952
0.772408,0.034916,-0.059131,-0.122218
0.807320,0.032931,-0.054932,-0.121892
0.842171,0.032037,-0.055972,-0.122126
0.877083,0.031617,-0.056794,-0.124229
0.906991,0.031555,-0.057874,-0.123339
0.941842,0.029999,-0.057740,-0.121551
0.976754,0.029907,-0.058565,-0.120296
1.011605,0.029651,-0.061162,-0.120374
1.041512,0.028741,-0.061001,-0.120997
1.076424,0.027001,-0.056634,-0.122643
1.106331,0.025636,-0.058275,-0.122429
1.141204,0.027127,-0.060251,-0.122951
1.176116,0.026860,-0.058027,-0.124703
1.206023,0.026927,-0.058412,-0.125841
1.240904,0.030925,-0.063782,-0.122541
1.275786,0.030274,-0.062952,-0.125228
1.305693,0.024312,-0.055050,-0.126654
1.340575,0.022864,-0.053496,-0.124755
1.375456,0.026883,-0.057254,-0.125714
1.410338,0.028665,-0.056776,-0.124270
1.450194,0.029380,-0.055293,-0.122882
1.475157,0.030601,-0.059868,-0.123745
1.510009,0.033740,-0.059984,-0.121663
1.539916,0.032948,-0.060824,-0.121545
1.574828,0.031044,-0.057474,-0.123047
1.609679,0.030668,-0.062241,-0.123800
1.639586,0.030500,-0.061835,-0.125536
1.674498,0.028941,-0.059402,-0.125143
1.709349,0.027861,-0.056595,-0.125275
1.739257,0.030184,-0.058875,-0.124962
1.774169,0.029989,-0.062197,-0.124008
1.809020,0.029312,-0.059641,-0.123362
1.843932,0.028658,-0.061105,-0.121333
1.873839,0.029360,-0.059786,-0.122501
1.908721,0.028516,-0.060545,-0.121856
1.943602,0.028506,-0.059349,-0.122244
1.973509,0.028984,-0.061142,-0.122512
2.008391,0.030416,-0.061249,-0.120946
2.038298,0.030861,-0.064691,-0.118727
2.073180,0.028555,-0.060571,-0.118301
2.108061,0.027268,-0.060884,-0.117807
2.142963,0.027686,-0.061866,-0.118260
2.177814,0.029084,-0.063961,-0.121193
2.207721,0.026473,-0.054324,-0.124925
2.242633,0.025715,-0.055882,-0.127205
2.277484,0.022248,-0.055737,-0.125824
2.307391,0.024016,-0.056597,-0.123807
2.342303,0.024792,-0.054912,-0.122013
2.377154,0.023374,-0.053570,-0.121502
2.407062,0.025163,-0.056183,-0.121043
2.441974,0.025514,-0.056816,-0.121270
2.476825,0.023505,-0.056646,-0.121485
2.506732,0.022932,-0.056418,-0.124385
2.541644,0.024283,-0.058143,-0.125993
2.576526,0.024138,-0.056323,-0.125277
2.606403,0.022045,-0.054000,-0.125240
2.636310,0.023176,-0.054144,-0.126705
2.676196,0.024444,-0.054953,-0.124690
2.706103,0.025824,-0.052387,-0.123304
2.740985,0.025142,-0.051276,-0.125686
2.775867,0.027050,-0.053967,-0.124863
2.805774,0.027893,-0.053292,-0.124863
2.840655,0.028348,-0.052853,-0.122875
2.875537,0.028158,-0.052651,-0.123736
